,Occupancy,WorkingHours,Delta Temperature,Delta Humidity,Delta Light,Delta CO2
1743,1,1,2.789999999999999,-0.828000000000003,420.0,207.58000000000004
8291,1,1,2.759999999999998,-0.8550000000000004,420.0,199.83000000000004
7214,1,1,2.710000000000001,-0.9000000000000021,420.0,190.83000000000004
6095,1,1,2.710000000000001,-0.9000000000000021,413.0,187.33000000000004
4165,1,1,2.710000000000001,-0.9000000000000021,413.0,187.996666666667
8052,1,1,2.710000000000001,-0.9000000000000021,413.0,185.33000000000004
7421,1,0,1.7850000000000001,-1.7850000000000001,419.0,62.5
2483,1,0,1.7850000000000001,-1.8100000000000023,419.0,64.75
4870,1,0,1.8100000000000023,-1.8599999999999994,419.0,65.5
7146,1,0,1.7100000000000009,-1.8350000000000009,419.0,60.5
4493,0,0,1.7100000000000009,-1.7600000000000016,0.0,56.0
8111,0,0,1.6550000000000011,-1.6700000000000017,0.0,59.5
4426,0,0,1.6000000000000014,-1.5700000000000003,0.0,63.5
6093,0,0,1.6000000000000014,-1.5700000000000003,0.0,64.0
2092,0,0,1.6000000000000014,-1.5700000000000003,0.0,63.5
384,0,0,1.6000000000000014,-1.4600000000000009,0.0,64.0
2252,0,0,1.5,-1.5150000000000006,0.0,63.5
9170,0,0,1.5,-1.4600000000000009,0.0,60.16666666666697
10114,0,0,1.5,-1.4600000000000009,0.0,61.5
8502,0,0,1.5,-1.4600000000000009,0.0,62.5
2239,0,0,1.4100000000000001,-1.3599999999999994,0.0,44.5
1275,0,0,1.3100000000000023,-1.5700000000000003,0.0,46.5
1499,0,0,1.3100000000000023,-1.6033333333333069,0.0,32.5
7950,0,0,1.3100000000000023,-1.5333333333333066,0.0,32.5
9508,0,0,1.3100000000000023,-1.5150000000000006,0.0,29.5
3567,0,0,1.3100000000000023,-1.5150000000000006,0.0,28.75
79,0,0,1.3100000000000023,-1.5700000000000003,0.0,22.5
3820,0,0,1.2100000000000009,-1.6366666666666951,0.0,23.16666666666697
8493,0,0,1.2100000000000009,-1.5150000000000006,0.0,20.5
10848,0,0,1.2100000000000009,-1.4600000000000009,0.0,20.5
2811,0,0,1.1000000000000014,-1.6700000000000017,0.0,13.5
10357,0,0,1.2100000000000009,-1.4600000000000009,0.0,14.5
8038,0,0,1.1000000000000014,-1.4600000000000009,0.0,2.0
4168,0,0,1.1000000000000014,-1.4600000000000009,0.0,0.0
5998,0,0,1.0500000000000007,-1.5700000000000003,0.0,-2.0
572,0,0,1.1000000000000014,-1.5700000000000003,0.0,-3.5
11223,0,0,1.0500000000000007,-1.5700000000000003,0.0,1.0
1139,0,0,1.0,-1.5700000000000003,0.0,-3.5
3723,0,0,1.1000000000000014,-1.5700000000000003,0.0,-5.5
8937,0,0,1.0,-1.5700000000000003,0.0,-4.0
3917,0,0,1.0,-1.6033333333333069,0.0,-9.16666666666697
1679,0,0,1.0,-1.5700000000000003,0.0,-11.5
3361,0,0,1.0,-1.620000000000001,0.0,-12.0
4417,0,0,1.5,-2.1400000000000006,0.0,64.16999999999996
8250,0,0,1.5,-2.240000000000002,0.0,60.16999999999996
8843,0,0,1.5,-2.240000000000002,0.0,57.66999999999996
7769,0,0,1.4774999999999991,-2.215,0.0,60.66999999999996
2422,0,0,1.4100000000000001,-2.240000000000002,0.0,43.16999999999996
11985,0,0,1.4100000000000001,-2.330000000000002,0.0,47.16999999999996
1764,0,0,1.4100000000000001,-2.240000000000002,0.0,46.50333333333299
11831,0,0,1.3599999999999994,-2.285,0.0,38.66999999999996
2971,0,0,1.4100000000000001,-2.330000000000002,0.0,38.16999999999996
11842,0,0,1.3100000000000023,-2.285,0.0,36.66999999999996
8801,0,0,1.3433333333333017,-2.330000000000002,0.0,36.83666666666693
6947,0,0,1.4100000000000001,-2.330000000000002,0.0,29.16999999999996
1281,0,0,1.4100000000000001,-2.330000000000002,0.0,32.16999999999996
527,0,0,1.3100000000000023,-2.3800000000000026,0.0,30.16999999999996
9430,0,0,1.3100000000000023,-2.330000000000002,0.0,28.66999999999996
8063,0,0,1.3100000000000023,-2.330000000000002,0.0,19.16999999999996
7463,0,0,1.3100000000000023,-2.330000000000002,0.0,20.16999999999996
3307,0,0,1.3100000000000023,-2.330000000000002,0.0,26.66999999999996
7572,0,0,1.3100000000000023,-2.330000000000002,0.0,16.50333333333299
662,0,0,1.3100000000000023,-2.330000000000002,0.0,15.169999999999959
4339,0,0,1.2766666666666993,-2.3633333333333013,0.0,18.50333333333299
8358,0,0,1.3100000000000023,-2.4299999999999997,0.0,14.169999999999959
9873,0,0,1.2100000000000009,-2.4299999999999997,0.0,17.66999999999996
11404,0,0,1.2100000000000009,-2.4299999999999997,0.0,12.169999999999959
8278,0,0,1.2100000000000009,-2.4299999999999997,0.0,10.169999999999959
7018,0,0,1.2100000000000009,-2.4299999999999997,0.0,8.169999999999959
4175,0,0,1.2100000000000009,-2.4299999999999997,0.0,9.169999999999959
7262,0,0,1.1550000000000011,-2.4299999999999997,0.0,9.669999999999959
895,0,0,1.1000000000000014,-2.4299999999999997,0.0,7.169999999999959
968,0,0,1.1000000000000014,-2.4299999999999997,0.0,5.169999999999959
7798,0,0,1.1000000000000014,-2.4299999999999997,0.0,1.669999999999959
3943,0,0,1.1000000000000014,-2.4299999999999997,0.0,0.6699999999999591
5217,0,0,1.1000000000000014,-2.4299999999999997,0.0,3.669999999999959
1455,0,0,1.1000000000000014,-2.4299999999999997,0.0,0.6699999999999591
11021,0,0,1.1000000000000014,-2.4299999999999997,0.0,0.16999999999995907
10562,0,0,1.1000000000000014,-2.4299999999999997,0.0,-0.3300000000000409
6765,0,0,1.0500000000000007,-2.4299999999999997,0.0,-0.3300000000000409
2531,0,0,1.0666666666666949,-2.4299999999999997,0.0,0.8366666666669289
4809,0,0,1.2899999999999991,-2.3999999999999986,0.0,25.0
1147,0,0,1.2899999999999991,-2.3999999999999986,0.0,21.0
11424,0,0,1.2899999999999991,-2.3999999999999986,0.0,20.66666666666697
3620,0,0,1.2899999999999991,-2.3999999999999986,0.0,19.0
5852,0,0,1.245000000000001,-2.3999999999999986,0.0,17.5
11147,0,0,1.1999999999999993,-2.3999999999999986,0.0,15.5
9047,0,0,1.2600000000000016,-2.3999999999999986,0.0,13.0
1817,0,0,1.245000000000001,-2.4499999999999993,0.0,12.5
4835,0,0,1.245000000000001,-2.5,0.0,14.0
3292,0,0,1.245000000000001,-2.5,0.0,11.5
5242,0,0,1.1999999999999993,-2.5,0.0,11.5
7930,0,0,1.1999999999999993,-2.5,0.0,13.5
9097,0,0,1.1999999999999993,-2.6099999999999994,0.0,11.0
11868,0,0,1.1999999999999993,-2.6099999999999994,0.0,9.0
7201,0,0,1.1999999999999993,-2.6099999999999994,0.0,16.33333333333303
4439,0,0,1.1999999999999993,-2.6099999999999994,0.0,9.0
7824,0,0,1.1999999999999993,-2.6099999999999994,0.0,9.0
224,0,0,1.1999999999999993,-2.710000000000001,0.0,4.0
6940,0,0,1.1999999999999993,-2.710000000000001,0.0,1.0
3801,0,0,1.1999999999999993,-2.710000000000001,0.0,3.0
1961,0,0,1.1999999999999993,-2.7325000000000017,0.0,6.5
624,0,0,1.1999999999999993,-2.710000000000001,0.0,8.5
1912,0,0,1.1999999999999993,-2.710000000000001,0.0,-3.0
1320,0,0,1.1999999999999993,-2.8000000000000007,0.0,1.0
9590,0,0,1.1999999999999993,-2.8000000000000007,0.0,1.0
9050,0,0,1.1000000000000014,-2.8000000000000007,0.0,4.0
8254,0,0,1.1000000000000014,-2.8500000000000014,0.0,0.0
3877,0,0,1.1499999999999986,-2.8500000000000014,0.0,-3.0
4504,0,0,1.1000000000000014,-2.9499999999999993,0.0,-1.5
2473,0,0,1.1000000000000014,-3.0,0.0,-2.0
3217,0,0,1.1000000000000014,-3.0,0.0,-5.0
9562,0,0,1.1499999999999986,-2.9499999999999993,0.0,-6.0
8096,0,0,1.1000000000000014,-3.0,0.0,-3.0
10929,0,0,1.1000000000000014,-3.0549999999999997,0.0,-9.0
4326,0,0,1.1000000000000014,-3.0275,0.0,-7.25
1427,0,0,1.1000000000000014,-3.0549999999999997,0.0,-8.25
3668,0,0,1.1000000000000014,-3.1099999999999994,0.0,-13.5
3876,0,0,1.1000000000000014,-3.1099999999999994,0.0,-13.0
11653,0,0,1.0749999999999993,-3.1849999999999987,0.0,-16.5
10868,0,0,1.1000000000000014,-3.210000000000001,0.0,-17.0
8011,0,0,1.1600000000000001,-3.1149999999999984,0.0,-8.0
9319,0,0,1.1600000000000001,-3.1149999999999984,0.0,-8.5
6247,0,0,1.1099999999999994,-3.16,0.0,-9.0
3574,0,0,1.1766666666666978,-3.16,0.0,-9.0
10001,0,0,1.1099999999999994,-3.16,0.0,-8.5
7993,0,0,1.1099999999999994,-3.16,0.0,-14.0
9074,0,0,1.1099999999999994,-3.210000000000001,0.0,-7.0
10327,0,0,1.1099999999999994,-3.259999999999998,0.0,-17.25
4619,0,0,1.1099999999999994,-3.3099999999999987,0.0,-7.0
8295,0,0,1.1099999999999994,-3.3599999999999994,0.0,-12.0
699,0,0,1.1099999999999994,-3.3599999999999994,0.0,-10.333333333332973
1382,0,0,1.1099999999999994,-3.3599999999999994,0.0,-18.0
2061,0,0,1.1099999999999994,-3.3599999999999994,0.0,-18.0
3646,0,0,1.1099999999999994,-3.3599999999999994,0.0,-18.333333333332973
7491,0,0,1.1099999999999994,-3.3599999999999994,0.0,-21.0
5162,0,0,1.1099999999999994,-3.433333333333305,0.0,-18.0
3162,0,0,1.1099999999999994,-3.469999999999999,0.0,-16.333333333332973
4301,0,0,1.1099999999999994,-3.469999999999999,0.0,-15.0
5009,0,0,1.0824999999999996,-3.495000000000001,0.0,-17.25
11145,0,0,1.1099999999999994,-3.5199999999999996,0.0,-21.0
1506,0,0,1.1099999999999994,-3.5700000000000003,0.0,-21.0
1312,0,0,1.0549999999999997,-3.6149999999999984,0.0,-18.5
8923,0,0,1.0549999999999997,-3.6149999999999984,0.0,-17.5
9776,0,0,1.0733333333333022,-3.599999999999998,0.0,-17.666666666667027
8001,0,0,1.1099999999999994,-3.5700000000000003,0.0,-23.5
3408,0,0,1.0,-3.66,0.0,-27.0
391,0,0,1.0,-3.66,0.0,-22.0
5271,0,0,1.0549999999999997,-3.6149999999999984,0.0,-23.0
8873,0,0,1.1099999999999994,-3.5700000000000003,0.0,-18.0
5309,0,0,1.0,-3.66,0.0,-20.0
2807,0,0,1.0549999999999997,-3.6149999999999984,0.0,-23.75
9781,0,0,1.0,-3.66,0.0,-22.0
2200,0,0,1.1099999999999994,-3.5700000000000003,0.0,-22.0
5002,0,0,1.0,-3.66,0.0,-25.0
896,0,0,1.0366666666666973,-3.629999999999999,0.0,-26.333333333332973
3752,0,0,1.0,-3.66,0.0,-26.0
4700,0,0,1.0,-3.66,0.0,-24.0
5388,0,0,1.0,-3.66,0.0,-19.0
10596,0,0,1.0,-3.66,0.0,-20.333333333332973
9722,0,0,1.1000000000000014,-3.0,0.0,-26.0
7799,0,0,1.1000000000000014,-3.0,0.0,-26.0
11257,0,0,1.1000000000000014,-3.0,0.0,-31.5
1251,0,0,1.1000000000000014,-3.0,0.0,-29.833333333332973
6034,0,0,1.1000000000000014,-3.0,0.0,-26.0
5058,0,0,1.1000000000000014,-3.0,0.0,-36.5
10100,0,0,1.1000000000000014,-3.0,0.0,-30.0
1631,0,0,1.1000000000000014,-3.0,0.0,-28.5
9594,0,0,1.1000000000000014,-3.0,0.0,-32.5
6719,0,0,1.1000000000000014,-3.0,0.0,-32.5
9534,0,0,1.1000000000000014,-3.0,0.0,-32.5
8158,0,0,1.0,-3.0,0.0,-31.5
3334,0,0,1.033333333333303,-3.0,0.0,-31.166666666667027
8205,0,0,1.0500000000000007,-3.0,0.0,-34.0
4292,0,0,1.1000000000000014,-3.0,0.0,-32.5
7031,0,0,1.1000000000000014,-3.0,0.0,-40.5
9568,0,0,1.0,-3.0,0.0,-37.5
3207,0,0,1.0,-3.0,0.0,-34.0
9295,0,0,1.0500000000000007,-3.0,0.0,-35.5
4140,0,0,1.0,-3.0,0.0,-37.25
4182,0,0,1.1000000000000014,-3.0,0.0,-36.5
8520,0,0,1.0,-3.0,0.0,-33.5
